,leaf_index,leaf_value,leaf_weight,leaf_count,tree_index,split_index,depth,split_feature,split_gain,threshold,decision_type,default_left,missing_type,internal_value,internal_weight,internal_count
133,0,0.0035055764665912295,7.767962828278542,39,4,10,5,27,26.818899154663086,-0.7289070944265313,<=,False,NaN,0.0181202,20.3002,79
134,11,0.027157203748934364,12.532234862446787,40,4,10,5,27,26.818899154663086,-0.7289070944265313,<=,False,NaN,0.0181202,20.3002,79
135,4,-0.005600061240715468,6.056159108877182,35,4,29,8,32,2.055310010910034,-0.015912163056106095,<=,False,NaN,-0.0106158,22.6521,140
136,30,-0.01243635662519711,16.59591428935528,105,4,29,8,32,2.055310010910034,-0.015912163056106095,<=,False,NaN,-0.0106158,22.6521,140
137,24,0.0029401824754260253,10.75859124958515,55,4,23,7,0,13.418100357055664,0.7983514599355145,<=,True,NaN,-0.00625153,33.4107,195
138,20,0.007522008408755777,12.4318171441555,59,4,19,6,47,17.212299346923828,1.0000000180025095e-35,<=,False,NaN,-0.00251455,45.8425,254
139,5,0.024450046663846963,12.330867007374762,42,4,21,7,27,16.137800216674805,-0.47537414496118324,<=,True,NaN,0.0171116,20.9853,83
140,22,0.006620504217957737,8.65440431237221,41,4,21,7,27,16.137800216674805,-0.47537414496118324,<=,True,NaN,0.0171116,20.9853,83
141,17,0.0017877608328779556,14.51636929810047,75,4,16,6,32,20.149900436401367,-0.00022914551593639996,<=,True,NaN,0.0108507,35.5016,158
142,2,0.014413419908343921,12.281393930315973,50,4,27,9,42,10.486000061035156,54.049999237060554,<=,False,NaN,0.0212712,26.933,95
143,28,0.026989728890911228,14.651591166853903,45,4,27,9,42,10.486000061035156,54.049999237060554,<=,False,NaN,0.0212712,26.933,95
144,23,0.008637390580580917,13.6835021674633,62,4,22,8,42,14.438899993896484,74.09999847412111,<=,False,NaN,0.0170219,40.6165,157
145,12,0.021105573491971476,19.667075380682945,69,4,12,8,40,24.871200561523438,1.0000000180025095e-35,<=,True,None,0.0287324,36.0896,105
146,13,0.03782593928798575,16.42253126204014,36,4,12,8,40,24.871200561523438,1.0000000180025095e-35,<=,True,None,0.0287324,36.0896,105
147,7,0.004262291879923797,14.783778265118599,72,4,15,9,40,23.1023006439209,1.0000000180025095e-35,<=,True,None,0.0119368,23.6785,101
148,16,0.02465078459625247,8.894741162657738,29,4,15,9,40,23.1023006439209,1.0000000180025095e-35,<=,True,None,0.0119368,23.6785,101
149,15,0.025857225290864125,19.410089403390884,62,4,14,8,0,20.618499755859375,-0.6226703981578453,<=,True,NaN,0.0182174,43.0886,163
150,8,-0.01251598369515751,9.531156331300737,59,4,9,8,42,29.818899154663086,75.09999847412111,<=,False,NaN,0.00121588,24.0794,123
151,10,0.010217481848033689,14.548202425241469,64,4,9,8,42,29.818899154663086,75.09999847412111,<=,False,NaN,0.00121588,24.0794,123
152,6,-0.01247414117557606,6.737050637602804,42,4,30,8,16,1.4726200103759766,-0.05853826985703669,<=,True,NaN,-0.00925347,12.8233,77
153,31,-0.005656694856619991,6.086288273334507,35,4,30,8,16,1.4726200103759766,-0.05853826985703669,<=,True,NaN,-0.00925347,12.8233,77
154,14,0.011810214532544518,8.510583788156508,37,4,13,7,2,22.746599197387695,1.0000000180025095e-35,<=,False,NaN,-0.000847219,21.3339,114
155,9,0.02020543634232871,13.913900285959242,51,4,8,6,32,37.36330032348633,-0.00022914551593639996,<=,True,NaN,0.00747055,35.2478,165
156,3,0.015283871201361838,13.372948303818701,53,4,17,5,28,17.76219940185547,80.50000000000001,<=,True,NaN,0.0255749,64.0337,201
157,18,0.03987575832079032,11.830556228756903,24,4,18,6,13,20.654800415039062,38.50000000000001,<=,True,NaN,0.0282837,50.6607,148
158,19,0.027489425777919987,14.454444512724871,43,4,25,8,16,22.517900466918945,-0.07311390717206988,<=,True,NaN,0.0199083,22.9312,82
159,26,0.00694376659629756,8.476753592491155,39,4,25,8,16,22.517900466918945,-0.07311390717206988,<=,True,NaN,0.0199083,22.9312,82
160,25,0.031651403273375685,15.898994266986845,42,4,24,7,28,12.830100059509277,103.50000000000001,<=,True,NaN,0.0247315,38.8302,124
161,1,0.037921905143471255,26.203520879149437,55,4,28,4,32,4.317450046539307,0.008045062582392452,<=,False,NaN,0.0350994,48.5855,113
162,29,0.031761359063633886,22.382023498415947,58,4,28,4,32,4.317450046539307,0.008045062582392452,<=,False,NaN,0.0350994,48.5855,113
163,21,0.020620137132732808,18.68125443160534,65,4,26,4,32,10.961000442504883,0.026924626204853506,<=,False,NaN,0.0260904,37.4376,114
164,27,0.031508529882969406,18.756303444504738,49,4,26,4,32,10.961000442504883,0.026924626204853506,<=,False,NaN,0.0260904,37.4376,114
